"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"245","245","Ireland-seanad-minutes-2013May01-p9.html","2013/5/ 1","01/May/2013 Order of Business (Continued)","Amendment declared lost.","14","29"
"246","246","Ireland-seanad-minutes-2013May07-p21.html","2013/5/ 7","07/May/2013 National Lottery Bill 2012: Report and Final Stages (Continued)","Question declared carried.","25"," 6"
"247","247","Ireland-seanad-minutes-2013May08-p21.html","2013/5/ 8","08/May/2013 Order of Business (Resumed) (Continued)","Amendment declared lost.","15","31"
"248","248","Ireland-seanad-minutes-2013May08-p35.html","2013/5/ 8","08/May/2013 Domestic Violence: Motion (Continued)","Amendment declared lost."," 3","33"
"249","249","Ireland-seanad-minutes-2013May09-p10.html","2013/5/ 9","09/May/2013 Order of Business (Continued)","Amendment declared lost.","16","30"
"250","250","Ireland-seanad-minutes-2013May09-p11.html","2013/5/ 9","09/May/2013 Order of Business (Continued)","Question declared carried.","35","12"
"251","251","Ireland-seanad-minutes-2013May09-p9.html","2013/5/ 9","09/May/2013 Order of Business (Continued)","Amendment declared lost.","15","29"
"252","252","Ireland-seanad-minutes-2013May14-p16.html","2013/5/14","14/May/2013 Order of Business (Continued)","Amendment declared lost.","12","27"
"253","253","Ireland-seanad-minutes-2013May14-p29.html","2013/5/14","14/May/2013 Taxi Regulation Bill 2012: Report Stage (Resumed) and Final Stage (Continued)","Question declared carried.","26","12"
"254","254","Ireland-seanad-minutes-2013May16-p10.html","2013/5/16","16/May/2013 Order of Business (Continued)","Amendment declared lost.","12","28"
"255","255","Ireland-seanad-minutes-2013May22-p10.html","2013/5/22","22/May/2013 Order of Business (Continued)","Amendment declared lost.","16","30"
"256","256","Ireland-seanad-minutes-2013May22-p46.html","2013/5/22","22/May/2013 Criminal Justice (Unlicensed Money-Lending) Bill 2013: Second Stage (Continued)","Question declared lost.","17","23"
"257","257","Ireland-seanad-minutes-2013May28-p19.html","2013/5/28","28/May/2013 Order of Business (Continued)","Amendment declared lost.","12","31"
"258","258","Ireland-seanad-minutes-2013May29-p38.html","2013/5/29","29/May/2013 Special Educational Needs Services Provision: Motion (Continued)","Amendment declared carried.","30","15"
"259","259","Ireland-seanad-minutes-2013May30-p36.html","2013/5/30","30/May/2013 Financial Emergency Measures in the Public Interest Bill 2013: Second Stage (Continued)","Question declared carried.","28","16"
"260","260","Ireland-seanad-minutes-2013May30-p40.html","2013/5/30","30/May/2013 Financial Emergency Measures in the Public Interest Bill 2013: Committee and Remaining Stages (Continued)","Amendment declared lost."," 9","25"
"261","261","Ireland-seanad-minutes-2013May30-p44.html","2013/5/30","30/May/2013 Financial Emergency Measures in the Public Interest Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","27"," 9"
"262","262","Ireland-seanad-minutes-2013May30-p47.html","2013/5/30","30/May/2013 Financial Emergency Measures in the Public Interest Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","26"," 8"
"263","263","Ireland-seanad-minutes-2013May30-p9.html","2013/5/30","30/May/2013 Order of Business (Continued)","Amendment declared lost.","17","27"
"264","264","Ireland-seanad-minutes-2013November05-p18.html","2013/11/ 5","05/Nov/2013 Order of Business (Continued)","Amendment declared lost.","20","31"
"265","265","Ireland-seanad-minutes-2013November05-p50.html","2013/11/ 5","05/Nov/2013 Social Welfare and Pensions Bill 2013: Second Stage (Resumed) (Continued)","Question declared carried.","32","20"
"266","266","Ireland-seanad-minutes-2013November06-p10.html","2013/11/ 6","06/Nov/2013 Order of Business (Continued)","Amendment declared lost.","14","30"
