Year,Month,Day,File_Name,Subject,Non-RCV Result
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Sections 47 and 48 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 49 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 50 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p8.html,18/Feb/2004 Revenue Commissioners: Motion.,"Motion, as amended, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,"Section 51, as amended, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,"Sections 52 to 55, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,"Section 56, as amended, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Sections 57 and 58 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 59 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 60 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 61 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 63 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 64 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Section 65 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,"Sections 66 to 73, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Amendment put and declared lost.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Second Schedule agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p9.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage (Resumed).,Title agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p4.html,19/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 1 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 2 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 3 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,"Question, That the word proposed to be deleted stand, put and declared carried."
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Amendment declared lost.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,"Question, That the word proposed to be deleted stand, put and declared carried."
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Amendment declared lost.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,"Question, That the word proposed to be deleted stand, put and declared carried."
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Amendment declared lost.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 4 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 5 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Amendment put and declared lost.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Section 6 agreed to.
2004,February,19,Ireland-seanad-minutes-2004February19-p5.html,19/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Committee Stage.,Title agreed to.
2004,February,24,Ireland-seanad-minutes-2004February24-p10.html,24/Feb/2004 Public Service Superannuation (Miscellaneous Provisions) Bill 2004: Second Stage.,An Cathaoirleach:Is that agreed? Agreed.
2004,February,24,Ireland-seanad-minutes-2004February24-p10.html,24/Feb/2004 Public Service Superannuation (Miscellaneous Provisions) Bill 2004: Second Stage.,Question put and declared carried.
2004,February,24,Ireland-seanad-minutes-2004February24-p5.html,24/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,24,Ireland-seanad-minutes-2004February24-p6.html,24/Feb/2004 Proposals regarding Diseases of Animals Act 1966: Referral to Joint Committee.,Question put and agreed to.
2004,February,24,Ireland-seanad-minutes-2004February24-p7.html,24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.,Mr. B. Hayes:We are all agreed then.
2004,February,24,Ireland-seanad-minutes-2004February24-p7.html,24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.,[1011]Amendment declared lost.
2004,February,24,Ireland-seanad-minutes-2004February24-p7.html,24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.,"An Cathaoirleach:As amendment No. 13 has been carried, amendment No. 14 cannot be moved."
2004,February,24,Ireland-seanad-minutes-2004February24-p7.html,24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.,Amendment agreed to.
2004,February,24,Ireland-seanad-minutes-2004February24-p7.html,24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.,Amendment agreed to.
